Company,Median NIL Value,Median Instagram Followers,Median TikTok Followers,Median Twitter Followers,Sponsor Count,Unique Athletes Sponsored,Unique Schools Sponsored,Most Frequently Sponsored School,Kmeans
110 Grill,12700.0,5700.0,216.0,3400.0,1.0,1,1,Providence Friars,1
16 Handles,28000.0,20000.0,855.0,4100.0,1.0,1,1,Rutgers Scarlet Knights,1
2FIT BRANDS,10300.0,3000.0,4900.0,172.0,1.0,1,1,Creighton Bluejays,1
2REAL,18400.0,10200.0,29000.0,843.0,1.0,1,1,Miami Hurricanes,1
310 Hydrate,31000.0,22000.0,7300.0,1700.0,1.0,1,1,Arkansas Razorbacks,1
500 Level,190500.0,22650.0,3900.0,16080.0,3.0,2,2,Undecided,3
6thverse,105000.0,37000.0,659.0,21000.0,1.0,1,1,UCLA Bruins,3
A Kid Again,80000.0,18000.0,137.0,3800.0,1.0,1,1,Indiana Hoosiers,1
ASAS-Los Angeles,72000.0,17600.0,118000.0,1900.0,1.0,1,1,UCLA Bruins,1
AT&T Fiber,26000.0,15000.0,831.0,2000.0,4.0,1,1,Tennessee Volunteers,1
ATH Posters,168000.0,123000.0,565000.0,14700.0,1.0,1,1,Oklahoma State Cowboys,4
Academy Sports + Outdoors,61000.0,55000.0,10200.0,18400.0,5.0,1,1,Oklahoma Sooners,3
Actively Black,193000.0,180000.0,402000.0,10100.0,4.0,1,1,North Carolina Tar Heels,4
Advertising Week,105000.0,37000.0,659.0,21000.0,1.0,1,1,UCLA Bruins,3
Aeropostale,369000.0,440000.0,237000.0,46000.0,1.0,1,1,UCLA Bruins,0
Afterpay,350000.0,378000.0,491000.0,1300.0,1.0,1,1,California Golden Bears,4
Alabama Vintage,68000.0,8300.0,114.0,3100.0,1.0,1,1,Alabama Crimson Tide,1
Albertsons,259000.0,318000.0,15600.0,35000.0,1.0,1,1,Oregon State Beavers,0
Albion Fit,32000.0,26000.0,3000.0,1700.0,1.0,1,1,Utah Utes,1
Ale-8-One,524000.0,76000.0,139000.0,42000.0,1.0,1,1,Kentucky Wildcats,0
All Vote No Play,105000.0,37000.0,659.0,21000.0,1.0,1,1,UCLA Bruins,3
Allbirds,199000.0,241000.0,2100.0,10000.0,1.0,1,1,Oklahoma Sooners,3
Almost Heaven Desserts & Coffee Shop,14300.0,2500.0,241.0,389.0,1.0,1,1,Undecided,1
Amazon,125000.0,77000.0,4800.0,17200.0,4.0,3,3,Florida Gators,3
Amazon Fashion,135500.0,161300.0,12550.0,17777.5,2.0,2,2,Oregon State Beavers,3
