,NIL value,Instagram Followers,TikTok Followers,Twitter Followers,Company,Deal Date,School,Sponsor Count,Name
4,271000.0,16300.0,3500.0,160.0,500 Level,11/10/22,Florida State Seminoles,3.0,Trey Benson
5,238000.0,18000.0,13.0,14100.0,Eskimo Joe’s,11/10/22,Oklahoma State Cowboys,1.0,Spencer Sanders
6,36000.0,4600.0,287.0,3800.0,Burrito Express,11/10/22,Arizona State Sun Devils,1.0,Daniyel Ngata
19,88000.0,28000.0,45000.0,12700.0,Applebee's Grill + Bar,11/09/22,Kansas Jayhawks,2.0,Jalon Daniels
20,35000.0,4300.0,1300.0,2800.0,Applebee's Grill + Bar,11/09/22,Undecided,2.0,Jared Casey
31,37000.0,2400.0,37.0,1500.0,Kick The Sheets,11/09/22,Penn State Nittany Lions,2.0,Fatorma Mulbah
34,65000.0,17500.0,3100.0,2300.0,Gordon McKernan Injury Attorneys,11/09/22,LSU Tigers,16.0,Josh Williams
35,280000.0,69000.0,16700.0,1900.0,,11/09/22,Undecided,,AJ Johnson
38,516000.0,59000.0,194.0,15400.0,Gordon McKernan Injury Attorneys,11/08/22,LSU Tigers,16.0,Jayden Daniels
40,24000.0,12400.0,2200.0,4200.0,,11/08/22,Kansas Jayhawks,,Ernest Udeh Jr.
44,86000.0,88000.0,106000.0,1300.0,Nyle Maxwell Family of Dealerships,,Texas Longhorns,13.0,Jordana Codio
52,84000.0,10200.0,78000.0,14300.0,Mercury,11/08/22,Oklahoma Sooners,11.0,Kaden Helms
53,68000.0,5000.0,1500.0,8800.0,Mercury,11/08/22,Oklahoma Sooners,11.0,Nicholas Anderson
64,19000.0,6900.0,850.0,4500.0,,11/08/22,Virginia Cavaliers,,Isaac Traudt
65,24000.0,13900.0,7300.0,5100.0,,11/08/22,Virginia Cavaliers,,Isaac McKneely
66,233000.0,65000.0,121000.0,16400.0,Wolverine+,11/08/22,Michigan Wolverines,3.0,Andrel Anthony
68,92000.0,30000.0,1200.0,14000.0,Wolverine+,11/08/22,Michigan Wolverines,3.0,Ronnie Bell
74,86000.0,12700.0,11.0,15700.0,,11/07/22,Oklahoma Sooners,,Justin Broiles
77,21000.0,6100.0,30000.0,1700.0,HighlightHER,11/07/22,Oregon Ducks,12.0,Grace VanSlooten
80,32000.0,17500.0,57000.0,1400.0,HighlightHER,11/07/22,Arizona Wildcats,12.0,Paris Clark
81,29000.0,16600.0,16300.0,880.0,HighlightHER,11/07/22,Florida State Seminoles,12.0,Ta'Niya Laston
82,12900.0,2000.0,139.0,850.0,HighlightHER,11/07/22,Undecided,12.0,Timea Gardiner
83,18300.0,13800.0,2000.0,1700.0,HighlightHER,11/07/22,Undecided,12.0,Lauren Betts
84,45000.0,41000.0,2400.0,3500.0,HighlightHER,11/07/22,UCLA Bruins,12.0,Kiki Rice
85,22000.0,10100.0,5100.0,1800.0,HighlightHER,11/07/22,Oregon Ducks,12.0,Chance Gray
86,26000.0,19000.0,353.0,2400.0,HighlightHER,11/07/22,Connecticut Huskies,12.0,Ayanna Patterson
92,80000.0,7400.0,307.0,14700.0,ScienceLogic,11/04/22,Oklahoma Sooners,7.0,Ethan Downs
94,53000.0,9400.0,949.0,5900.0,The Athletic Collection,11/04/22,Tennessee Volunteers,14.0,LaTrell Bumphus
99,14000.0,8000.0,55.0,1800.0,Home Team Grill,11/04/22,VCU Rams,1.0,Jalen Deloach
101,86000.0,88000.0,106000.0,1300.0,Daps,11/04/22,Texas Longhorns,6.0,Jordana Codio
103,102000.0,107000.0,31000.0,28000.0,Orangetheory Fitness,11/03/22,South Carolina Gamecocks,1.0,Aliyah Boston
106,11500.0,4500.0,246.0,2500.0,,11/03/22,Notre Dame Fighting Irish,,Robby Carmody
108,11800.0,5300.0,392.0,1400.0,,11/03/22,Notre Dame Fighting Irish,,J.R. Konieczny
110,10300.0,3400.0,2000.0,618.0,,11/03/22,Notre Dame Fighting Irish,,Dom Campbell
111,10600.0,4000.0,375.0,477.0,,11/03/22,Notre Dame Fighting Irish,,Tony Sanders
122,164000.0,2900.0,186.0,3500.0,Keller Williams Sports + Entertainment,11/03/22,Texas Tech Red Raiders,6.0,Reggie Pearson Jr.
129,59000.0,10000.0,80.0,3500.0,Game Day Products,11/03/22,Clemson Tigers,5.0,Jake Briningstool
131,225000.0,37000.0,418.0,13400.0,Game Day Products,11/03/22,LSU Tigers,5.0,John Emery Jr.
138,105000.0,37000.0,659.0,21000.0,LA Sports Innovation Conference,11/02/22,UCLA Bruins,1.0,Chase Griffin
140,19500.0,9400.0,44000.0,2500.0,Primanti Bros,11/02/22,Pittsburgh Panthers,3.0,Marley Washenitz
141,16100.000000000002,10400.0,26.0,3000.0,Primanti Bros,11/02/22,Pittsburgh Panthers,3.0,John Hugley
