,Name,Company,University,NIL value,Instagram Followers,TikTok Followers,Twitter Followers,Sport
0,Aalah Brown,['Barstool Sports'],Jackson State,,,,,Football
1,Adam Kunkel,"['Cameo', nan]",Xavier,,,,,Basketball
2,Andrel Anthony,"['Wolverine+', 'Pro Sports Zone', 'Life+STYLE by Laura', 'Fortnite', 'Valiant MGMT', 'The Players Trunk', 'Barstool Sports', 'YOKE']",Michigan,233000.0,65000.0,121000.0,16400.0,Football
3,Andrew Kristofic,"['Mission BBQ', 'Barstool Sports']",Notre Dame,39000.0,2600.0,62.0,2400.0,Football
4,Andrew Mukuba,"[nan, 'Fan Controlled Football']",Clemson,69000.0,18700.0,1000.0,5600.0,Football
5,Anna Camden,"['Urban Outfitters', 'Camp Camden', nan, 'Roots Natural Kitchen', 'Moolah Kicks', 'Courtside With Camden']",Penn State,63000.0,26000.0,246000.0,1200.0,Basketball
6,Armando Bacot,"['CapTech', 'Me Fine Foundation', 'Fanatics Authentic', 'Bad Boy Mowers', 'Town & Country Farms', 'Engage', 'Cameo', ""Jimmy's Famous Seafood"", ""Jimmy's Seafood""]",North Carolina,1000000.0,140000.0,34000.0,56000.0,Basketball
7,Austin Blaske,"['Krystal', 'Barstool Sports']",Georgia,38000.0,2900.0,81.0,3400.0,Football
8,Avery Davis,"['Cameo', nan]",Notre Dame,29000.0,,,,Football
9,BJ Ojulari,"['Jimmy Granger Ford Lincoln', ""Raising Cane's"", 'Baton Rouge Food Bank', nan]",LSU,459000.0,17300.0,,7500.0,Football
10,Barney Amor,"['Duck Donuts State College', 'Geisinger Health', nan, 'Barstool Sports']",Penn State,27000.0,,,,Football
11,Baylee Klingler,"['MaxBat', 'Baylee Klingler Hitting Camp', 'Outback Steakhouse', nan, 'Barstool Sports']",Washington,38000.0,30000.0,17000.0,5800.0,Softball
12,Ben Ballard,"['Cameo', nan]",Texas,59000.0,,,,Football
13,Blake Corum,"['CLR Academy', 'Michigan Army National Guard', 'The M Den', 'Wolverine Boots', 'BC2 Football Camp', 'Bon Bon Bon', 'Subway', 'Outback Steakhouse', 'YOKE', 'Yoke Gaming']",Michigan,807000.0,73000.0,16700.0,30000.0,Football
14,Branson Bragg,"['Engage', nan]",Stanford,17800.0,1300.0,,1700.0,Football
15,Brennan Canada,"['Cameo', 'Barstool Sports']",Kentucky,27000.0,13700.0,2100.0,5900.0,Basketball
16,Bryan Bresee,"['Mercury', nan, 'Prisma Health-Upstate Giving', 'Fred Caldwell Chevrolet', 'PlantFuel']",Clemson,241000.0,135000.0,20000.0,19700.0,Football
17,Bryce Young,"['Beats by Dre', 'Nissan', 'Dr Pepper', 'NOBULL', 'Dollar Shave Club', 'Fanatics', 'New Lift Art', 'BMW of Tuscaloosa', ""Logan's Roadhouse"", 'Engage', 'B-Unlimited', 'Cash App', 'Leaf Trading Cards', 'Wild Trading Cards', 'Onyx Authenticated']",Alabama,3400000.0,237000.0,,64000.0,Football
18,Caleb Love,['Outback Steakhouse'],North Carolina,756000.0,313000.0,30000.0,56000.0,Basketball
19,Cameron Brown,[nan],Ohio State,61000.0,21000.0,,9000.0,Football
20,Carter Selzer,['Barstool Sports'],Michigan,57000.0,,,,Football
21,Charlisse Leger-Walker,"['Cameo', nan]",Washington State,14200.0,4500.0,1200.0,670.0,Basketball
